label,count,mean,std,min,25%,50%,75%,max
case,29812,-0.860231,0.951494,-6.492243,-1.448708,-0.742648,-0.165548,2.014278
control,199431,1.239941,0.847775,-1.770702,0.632465,1.132221,1.742934,6.319715
